Sr_No	Full_Name	Country	Player_Role	Batting_Style	Bowling_Style	Base_Price
1	Aaron Hardie	Australia	All Rounder	Right Hand Bat	Right-Arm Medium Fast	42000000
2	Adam Zampa	Australia	Bowler	Right Hand Bat	Right-Arm Legspin	42000000
3	Ashton Turner	Australia	Batter	Right Hand Bat	Right-Arm Offspin	42000000
4	David Warner	Australia	Batter	Left Hand Bat	Right-Arm Medium	42000000
5	Riley Meredith	Australia	Bowler	Right Hand Bat	Right-Arm Fast	42000000
6	Chris Jordan	England	Bowler	Right Hand Bat	Right-Arm Fast	42000000
7	David Willey	England	All Rounder	Left Hand Bat	Left-Arm Fast	42000000
8	Joe Clarke	England	Wicketkeeper Batter	Right Hand Bat	Not Applicable	42000000
9	Liam Dawson	England	All Rounder	Right Hand Bat	Slow left-arm orthodox	42000000
10	Tom Curran	England	All Rounder	Right Hand Bat	Right-Arm Medium Fast	42000000
11	Sandeep Lamichanne	Nepal	Bowler	Right Hand Bat	Right-Arm Legspin	42000000
12	Daryl Mitchell	New Zealand	Batter	Right Hand Bat	Right-Arm Medium Fast	42000000
13	Mark Chapman	New Zealand	Batter	Left Hand Bat	Slow left-arm orthodox	42000000
14	Michael Bracewell	New Zealand	All Rounder	Left Hand Bat	Right-Arm Offspin	42000000
15	Rilee Rossouw	South Africa	Batter	Left Hand Bat	Right-Arm Offspin	42000000
16	Alzarri Joseph	West Indies	Bowler	Right Hand Bat	Right-Arm Medium Fast	42000000
17	Jake Fraser-McGurk	Australia	Batter	Right Hand Bat	Right-Arm Offspin	42000000
18	William Sutherland	Australia	All Rounder	Right Hand Bat	Right-Arm Fast	42000000
19	James Vince	England	Batter	Right Hand Bat	Right-Arm Medium	42000000
20	Imad Wasim	Pakistan	All Rounder	Left Hand Bat	Slow left-arm orthodox	42000000
21	Mohammad Amir	Pakistan	Bowler	Left Hand Bat	Left-Arm Medium Fast	42000000
22	Rassie Van Der Dussen	South Africa	Batter	Right Hand Bat	Right-Arm Legspin	42000000
23	Reeza Hendricks	South Africa	Batter	Right Hand Bat	Right-Arm Offspin	42000000
24	Dasun Shanaka	Sri Lanka	All Rounder	Right Hand Bat	Right-Arm Medium Fast	42000000
25	Kusal Mendis	Sri Lanka	Wicketkeeper Batter	Right Hand Bat	Right-Arm Legspin	42000000
26	Evin Lewis	West Indies	Batter	Left Hand Bat	Right-Arm Medium	42000000
27	Brandon King	West Indies	Batter	Right Hand Bat	Right-Arm Offspin	42000000
28	Faheem Ashraf	Pakistan	All Rounder	Left Hand Bat	Right-Arm Medium Fast	42000000
29	Fakhar Zaman	Pakistan	Batter	Left Hand Bat	Slow left-arm orthodox	42000000
30	Haris Rauf	Pakistan	Bowler	Right Hand Bat	Right-Arm Fast	42000000
31	Mohammad Rizwan	Pakistan	Bowler	Left Hand Bat	Slow left-arm orthodox	42000000
32	Naseem Shah	Pakistan	Bowler	Right Hand Bat	Right-Arm Fast	42000000
33	Sahibzada Farhan	Pakistan	Batter	Right Hand Bat	Not Applicable	42000000
34	Salman Ali Agha	Pakistan	All Rounder	Right Hand Bat	Right-Arm Offspin	42000000
35	Daniel Sams	Australia	All Rounder	Right Hand Bat	Left-Arm Fast	22000000
36	Jake Weatherald	Australia	Batter	Left Hand Bat	Right-Arm Legspin	22000000
37	Jason Behrendorff	Australia	Bowler	Right Hand Bat	Left-Arm Fast	22000000
38	Moises Henriques	Australia	All Rounder	Right Hand Bat	Right-Arm Medium Fast	22000000
39	Peter Siddle	Australia	Bowler	Right Hand Bat	Right-Arm Fast	22000000
40	Usman Khawaja	Australia	Batter	Left Hand Bat	Right-Arm Offspin	22000000
41	Shakib Al Hasan	Bangladesh	All Rounder	Left Hand Bat	Slow left-arm orthodox	22000000
42	Sam Billings	England	Wicketkeeper Batter	Right Hand Bat	Right-Arm Medium	22000000
43	Tymal Mills	England	Bowler	Right Hand Bat	Left-Arm Fast	22000000
44	Colin Munro	New Zealand	Batter	Left Hand Bat	Right-Arm Medium	22000000
45	Jimmy Neesham	New Zealand	All Rounder	Left Hand Bat	Right-Arm Medium Fast	22000000
46	Mitchell Hay	New Zealand	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	22000000
47	Keshav Maharaj	South Africa	Bowler	Right Hand Bat	Slow left-arm orthodox	22000000
48	Tabraiz Shamsi	South Africa	Bowler	Right Hand Bat	Slow left-arm wrist spin	22000000
49	Charith Asalanka	Sri Lanka	All Rounder	Left Hand Bat	Right-Arm Offspin	22000000
50	Kusal Perera	Sri Lanka	Wicketkeeper Batter	Left Hand Bat	Slow left-arm orthodox	22000000
51	Jayden Seales	West Indies	Bowler	Left Hand Bat	Right-Arm Fast	22000000
52	Matthew Forde	West Indies	Bowler	Right Hand Bat	Right-Arm Medium	22000000
53	Tanveer Sangha	Australia	Bowler	Right Hand Bat	Right-Arm Legspin	22000000
54	Josh Philippe	Australia	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	22000000
55	Matthew Kuhnemann	Australia	Bowler	Left Hand Bat	Slow left-arm orthodox	22000000
56	Mushfiqur Rahim	Bangladesh	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	22000000
57	Dawid Malan	England	Batter	Left Hand Bat	Slow left-arm orthodox	22000000
58	Jason Roy	England	Batter	Right Hand Bat	Right-Arm Offspin	22000000
59	Reece Topley	England	Bowler	Right Hand Bat	Left-Arm Fast	22000000
60	Richard Gleeson	England	Bowler	Right Hand Bat	Right-Arm Fast	22000000
61	Saqib Mahmood	England	Bowler	Right Hand Bat	Right-Arm Fast	22000000
62	William Smeed	England	Batter	Right Hand Bat	Right-Arm Offspin	22000000
63	Blair Tickner	New Zealand	Bowler	Right Hand Bat	Right-Arm Fast	22000000
64	Thomas Charles Bruce	New Zealand	Batter	Right Hand Bat	Right-Arm Offspin	22000000
65	Tom Latham	New Zealand	Wicketkeeper Batter	Left Hand Bat	Right-Arm Medium	22000000
66	Imran Tahir	South Africa	Bowler	Right Hand Bat	Right-Arm Legspin	22000000
67	Angelo Mathews	Sri Lanka	All Rounder	Right Hand Bat	Right-Arm Medium Fast	22000000
68	Asitha Fernando	Sri Lanka	Bowler	Right Hand Bat	Right-Arm Fast	22000000
69	Avishka Fernando	Sri Lanka	Batter	Right Hand Bat	Right-Arm Offspin	22000000
70	Dilshan Madushanka	Sri Lanka	Bowler	Right Hand Bat	Left-Arm Fast	22000000
71	Janith Liyanage	Sri Lanka	Batter	Right Hand Bat	Right-Arm Medium	22000000
72	Pramod Madushan	Sri Lanka	Bowler	Right Hand Bat	Right-Arm Medium Fast	22000000
73	John Campbell	West Indies	Batter	Left Hand Bat	Right-Arm Offspin	22000000
74	Johnson Charles	West Indies	Wicketkeeper Batter	Right Hand Bat	Right-Arm Medium	22000000
75	Rahkeem Cornwall	West Indies	All Rounder	Right Hand Bat	Right-Arm Offspin	22000000
76	Md Zakir Hasan	Bangladesh	Wicketkeeper Batter	Left Hand Bat	Right-Arm Offspin	22000000
77	Jeremy Gordon	Canada	Bowler	Right Hand Bat	Right-Arm Medium Fast	22000000
78	Danial Kashif	England	All Rounder	Right Hand Bat	Right-Arm Medium Fast	22000000
79	Michael Rippon	New Zealand	All Rounder	Right Hand Bat	Slow left-arm wrist spin	22000000
80	Iftikhar Ahmed	Pakistan	All Rounder	Right Hand Bat	Right-Arm Offspin	22000000
81	Mohammad Wasim Jnr	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	22000000
82	Saud Shakeel	Pakistan	Batter	Left Hand Bat	Slow left-arm orthodox	22000000
83	Shan Masood	Pakistan	Batter	Left Hand Bat	Right-Arm Medium Fast	22000000
84	Usama Mir	Pakistan	All Rounder	Right Hand Bat	Right-arm Legspin	22000000
85	Dian Forrester	South Africa	All Rounder	Left Hand Bat	Right-Arm Medium Fast	22000000
86	Evan Jones	South Africa	All Rounder	Right Hand Bat	Right-Arm Medium Fast	22000000
87	Gideon Peters	South Africa	Bowler	Right Hand Bat	Right-Arm Fast	22000000
88	Rubin Hermann	South Africa	Wicketkeeper Batter	Left Hand Bat	Right-Arm Offspin	22000000
89	Thomas Kaber	South Africa	All Rounder	Right Hand Bat	Slow left-arm wrist spin	22000000
90	Tristan Luus	South Africa	Bowler	Right Hand Bat	Right-Arm Medium Fast	22000000
91	Yasir Muhammad	United States of America	Bowler	Left Hand Bat	Right-Arm Legspin	22000000
92	Ackeem Auguste	West Indies	Batter	Left Hand Bat	Right-Arm Legspin	22000000
93	Kadeem Alleyne	West Indies	All Rounder	Right Hand Bat	Right-Arm Medium	22000000
94	Odean Smith	West Indies	All Rounder	Right Hand Bat	Right-Arm Fast	22000000
95	Ryan Burl	Zimbabwe	All Rounder	Left Hand Bat	Slow left-arm wrist spin	22000000
96	Amir Hamza Hotak	Afghanistan	Bowler	Right Hand Bat	Slow left-arm orthodox	11000000
97	Fareed Malik	Afghanistan	Bowler	Left Hand Bat	Left-Arm Fast	11000000
98	Asthon Agar	Australia	Bowler	Left Hand Bat	Slow left-arm orthodox	11000000
99	Ben Mcdermott	Australia	Wicketkeeper Batter	Right Hand Bat	Right-Arm Medium	11000000
100	Chris Green	Australia	Bowler	Right Hand Bat	Right-Arm Offspin	11000000
101	Chris Lynn	Australia	Batter	Right Hand Bat	Slow left-arm orthodox	11000000
102	D'Arcy Short	Australia	All Rounder	Left Hand Bat	Slow left-arm wrist spin	11000000
103	Gurinder Sandhu	Australia	Bowler	Left Hand Bat	Right-Arm Fast	11000000
104	Henry Thornton	Australia	Bowler	Right Hand Bat	Right-Arm Fast	11000000
105	Jack Wildermuth	Australia	All Rounder	Right Hand Bat	Right-Arm Medium Fast	11000000
106	Joshua Brown	Australia	Batter	Right Hand Bat	Right-Arm Offspin	11000000
107	Liam Scott	Australia	All Rounder	Right Hand Bat	Right-Arm Medium Fast	11000000
108	Mark Steketee	Australia	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
109	Nathan Mcandrew	Australia	Bowler	Right Hand Bat	Right-Arm Fast	11000000
110	Todd Murphy	Australia	Bowler	Left Hand Bat	Right-Arm Offspin	11000000
111	Rishad Hossain	Bangladesh	Bowler	Right Hand Bat	Right-Arm Legspin	11000000
112	George Garton	England	All Rounder	Left Hand Bat	Left-Arm Fast	11000000
113	Laurie Evans	England	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
114	Tom Moores	England	Wicketkeeper Batter	Left Hand Bat	Right-Arm Medium	11000000
115	Arjun Saud	Nepal	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
116	Scott Kuggeleijn	New Zealand	All Rounder	Right Hand Bat	Right-Arm Medium Fast	11000000
117	Will Young	New Zealand	Batter	Right Hand Bat	Right-Arm Offspin	11000000
118	Ottneil Baartman	South Africa	Bowler	Right Hand Bat	Right-Arm Fast	11000000
119	Senuran Muthusamy	South Africa	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
120	Bhanuka Rajapaksa	Sri Lanka	Wicketkeeper Batter	Left Hand Bat	Right-Arm Medium	11000000
121	Binura Fernando	Sri Lanka	All Rounder	Right Hand Bat	Left-Arm Medium Fast	11000000
122	Dhananjaya De Silva	Sri Lanka	All Rounder	Right Hand Bat	Right-Arm Offspin	11000000
123	Dinesh Chandimal	Sri Lanka	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
124	Niroshan Dickwella	Sri Lanka	Wicketkeeper Batter	Left Hand Bat	Right-Arm Offspin	11000000
125	Muhammad Rohid Khan	United Arab Emirates	Bowler	Right Hand Bat	Left-Arm Fast	11000000
126	Muhammad Waseem	United Arab Emirates	Batter	Right Hand Bat	Right-Arm Offspin	11000000
127	Andries Gous	United States of America	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
128	Hassan Khan	United States of America	All Rounder	Right Hand Bat	Slow left-arm orthodox	11000000
129	Alick Athanaze	West Indies	Batter	Left Hand Bat	Right-Arm Offspin	11000000
130	Andre Fletcher	West Indies	Batter	Right Hand Bat	Right-Arm Medium	11000000
131	Fabian Allen	West Indies	All Rounder	Right Hand Bat	Slow left-arm orthodox	11000000
132	Gudakesh Motie	West Indies	Bowler	Left Hand Bat	Slow left-arm orthodox	11000000
133	Keemo Paul	West Indies	All Rounder	Right Hand Bat	Right-Arm Fast	11000000
134	Kyle Mayers	West Indies	Batter	Left Hand Bat	Right-Arm Medium	11000000
135	Shamar Joseph	West Indies	Bowler	Left Hand Bat	Right-Arm Fast	11000000
136	Blessing Muzarabani	Zimbabwe	Bowler	Right Hand Bat	Right-Arm Fast	11000000
137	Sharafuddin Ashraf	Afghanistan	All Rounder	Right Hand Bat	Slow left-arm orthodox	11000000
138	Wafadar Momand	Afghanistan	Bowler	Right Hand Bat	Right-Arm Fast	11000000
139	Zia Ur Rahman Sharifi	Afghanistan	Bowler	Right Hand Bat	Right-Arm Fast	11000000
140	Hilton Cartwright	Australia	All Rounder	Right Hand Bat	Right-Arm Medium	11000000
141	Roman Safi	Australia	All Rounder	Right Hand Bat	Left-Arm Medium Fast	11000000
142	Hasan Mahmud	Bangladesh	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
143	Jishan Alam	Bangladesh	Batter	Right Hand Bat	Right-Arm Offspin	11000000
144	Litton Kumer Das	Bangladesh	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
145	Mahfuzur Rahman Rabby	Bangladesh	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
146	Mahmudul Hasan Joy	Bangladesh	Batter	Right Hand Bat	Right-Arm Offspin	11000000
147	Md Nahid Rana	Bangladesh	Bowler	Right Hand Bat	Right-Arm Fast	11000000
148	Md Tanvir Islam	Bangladesh	Bowler	Left Hand Bat	Slow left-arm orthodox	11000000
149	Mehidy Hasan Miraz	Bangladesh	All Rounder	Right Hand Bat	Right-Arm Offspin	11000000
150	Musaddek Hossain Saikat	Bangladesh	All Rounder	Right Hand Bat	Right-Arm Offspin	11000000
151	Najmul Hossain Shanto	Bangladesh	Batter	Left Hand Bat	Right-Arm Offspin	11000000
152	Parvez Hossain Emon	Bangladesh	Wicketkeeper Batter	Left Hand Bat	Slow left-arm orthodox	11000000
153	Quazi Nurul Hasan Sohan	Bangladesh	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
154	Ripon Mondol	Bangladesh	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
155	Shak Mahedi Hasan	Bangladesh	All Rounder	Right Hand Bat	Right-Arm Offspin	11000000
156	Shamim Hossain	Bangladesh	Batter	Left Hand Bat	Right-Arm Offspin	11000000
157	Shoriful Islam	Bangladesh	Bowler	Left Hand Bat	Left-Arm Medium Fast	11000000
158	Taijul Islam	Bangladesh	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
159	Tanzid Hasan Tamim	Bangladesh	Batter	Left Hand Bat	Right-Arm Offspin	11000000
160	Taskin Ahmed	Bangladesh	Bowler	Left Hand Bat	Right-Arm Fast	11000000
161	Tawhid Hridoy	Bangladesh	Batter	Right Hand Bat	Right-Arm Offspin	11000000
162	Yasir Ali Chowdhury	Bangladesh	Batter	Right Hand Bat	Right-Arm Offspin	11000000
163	Walid Sahibzada	Belgium	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
164	Kaleem Sana	Canada	Bowler	Right Hand Bat	Left-Arm Fast	11000000
165	Benny Howell	England	All Rounder	Right Hand Bat	Right-Arm Medium	11000000
166	Syed Aziz Bin Syed Mubarak	Malaysia	All Rounder	Left Hand Bat	Right-Arm Medium	11000000
167	Dev Khanal	Nepal	Batter	Right Hand Bat	Right-Arm Offspin	11000000
168	Chad Bowes	New Zealand	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
169	Max Chu	New Zealand	Batter	Left Hand Bat	Right-Arm Offspin	11000000
170	Nathan Smith	New Zealand	All Rounder	Right Hand Bat	Right-Arm Medium Fast	11000000
171	Aamer Yamin	Pakistan	All Rounder	Right Hand Bat	Right-Arm Medium Fast	11000000
172	Aamir Jamal	Pakistan	All Rounder	Right Hand Bat	Right-Arm Medium Fast	11000000
173	Abid Ali	Pakistan	Batter	Right Hand Bat	Right-arm Legspin	11000000
174	Arafat Minhas	Pakistan	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
175	Arshad Iqbal	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
176	Asif Afridi	Pakistan	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
177	Asif Ali	Pakistan	Batter	Right Hand Bat	Right-Arm Offspin	11000000
178	Azam Khan	Pakistan	Wicketkeeper Batter	Right Hand Bat	Not Applicable	11000000
179	Bilawal Bhatti	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
180	Danish Aziz	Pakistan	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
181	Faisal Akram	Pakistan	Bowler	Left Hand Bat	Left-arm wrist spin	11000000
182	Haider Ali	Pakistan	Batter	Right Hand Bat	Not Applicable	11000000
183	Haseebullah Khan	Pakistan	Wicketkeeper Batter	Left Hand Bat	Not Applicable	11000000
184	Hussain Talat	Pakistan	All Rounder	Left Hand Bat	Right-Arm Medium	11000000
185	Ihsanullah	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
186	Imam-ul-Haq	Pakistan	Batter	Left Hand Bat	Right-arm Legspin	11000000
187	Imran Butt	Pakistan	Batter	Right Hand Bat	Not Applicable	11000000
188	Irfan Khan Niazi	Pakistan	Batter	Right Hand Bat	Right-Arm Medium Fast	11000000
189	Jahandad Khan	Pakistan	All Rounder	Right Hand Bat	Left-Arm Medium Fast	11000000
190	Kamran Ghulam	Pakistan	Batter	Right Hand Bat	Slow left-arm orthodox	11000000
191	Khawaja Mohammad Nafay	Pakistan	Wicketkeeper Batter	Right Hand Bat	Not Applicable	11000000
192	Khurram Shahzad	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
193	Mir Hamza	Pakistan	Bowler	Left Hand Bat	Left-Arm Medium Fast	11000000
194	Mirza Tahir Baig	Pakistan	Batter	Right Hand Bat	Not Applicable	11000000
195	Mohammad Abbas	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
196	Mohammad Ali	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
197	Mohammad Haris	Pakistan	Wicketkeeper Batter	Right Hand Bat	Not Applicable	11000000
198	Mohammad Hasnain	Pakistan	Bowler	Right Hand Bat	Right-Arm Fast	11000000
199	Mubasir Khan	Pakistan	All Rounder	Right Hand Bat	Right-Arm Offspin	11000000
200	Musa Khan	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
201	Omair bin Yousuf	Pakistan	Batter	Right Hand Bat	Not Applicable	11000000
202	Qasim Akram	Pakistan	All Rounder	Right Hand Bat	Right-Arm Offspin	11000000
203	Rohail Nazir	Pakistan	Wicketkeeper Batter	Right Hand Bat	Not Applicable	11000000
204	Rumman Raees	Pakistan	Bowler	Left Hand Bat	Left-Arm Medium Fast	11000000
205	Saad Nasim	Pakistan	Batter	Right Hand Bat	Right-arm Legspin	11000000
206	Sajid Khan	Pakistan	Bowler	Right Hand Bat	Right-Arm Offspin	11000000
207	Shahnawaz Dahani	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
208	Sharjeel Khan	Pakistan	Batter	Left Hand Bat	Not Applicable	11000000
209	Tayyab Tahir	Pakistan	Batter	Right Hand Bat	Right-arm Legspin	11000000
210	Umar Amin	Pakistan	Batter	Left Hand Bat	Right-Arm Medium Fast	11000000
211	Umar Akmal	Pakistan	Batter	Right Hand Bat	Not Applicable	11000000
212	Usman Salahuddin	Pakistan	Batter	Right Hand Bat	Not Applicable	11000000
213	Zafar Gohar	Pakistan	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
214	Zahid Mehmood	Pakistan	Bowler	Right Hand Bat	Right-arm Legspin	11000000
215	Zaman Khan	Pakistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
216	Dwaine Pretorius	South Africa	All Rounder	Right Hand Bat	Right-Arm Medium Fast	11000000
217	Gomolemo Phiri	South Africa	Batter	Right Hand Bat	Right-Arm Offspin	11000000
218	Jason Smith	South Africa	All Rounder	Right Hand Bat	Right-Arm Medium	11000000
219	Lizaad Williams	South Africa	Bowler	Right Hand Bat	Right-Arm Medium Fast	11000000
220	Marchant De Lange	South Africa	Bowler	Right Hand Bat	Right-Arm Fast	11000000
221	Tony De Zorzi	South Africa	Batter	Left Hand Bat	Slow left-arm orthodox	11000000
222	Dhananjaya De Silva	Sri Lanka	All Rounder	Right Hand Bat	Right-Arm Offspin	11000000
223	Dushan Hemantha	Sri Lanka	All Rounder	Right Hand Bat	Right-Arm Legspin	11000000
224	Vijayakanth Viyaskantha	Sri Lanka	Bowler	Right Hand Bat	Right-Arm Legspin	11000000
225	Abdul Shakoor Sher Muhammad	United Arab Emirates	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	11000000
226	Amjad Khan	United Arab Emirates	All Rounder	Right Hand Bat	Right-Arm Legspin	11000000
227	Shadley Van Schalkwyk	United States of America	All Rounder	Left Hand Bat	Right-Arm Medium	11000000
228	Amir Jangoo	West Indies	Wicketkeeper Batter	Left Hand Bat	Slow left-arm wrist spin	11000000
229	Jediah Blades	West Indies	Bowler	Right Hand Bat	Left-Arm Fast	11000000
230	Jermaine Blackwood	West Indies	Batter	Right Hand Bat	Right-Arm Offspin	11000000
231	Jewel Andrew	West Indies	Wicketkeeper Batter	Right Hand Bat	Right-Arm Legspin	11000000
232	Karima Gore	West Indies	All Rounder	Right Hand Bat	Slow left-arm orthodox	11000000
233	Keacy Carty	West Indies	Batter	Right Hand Bat	Right-Arm Medium	11000000
234	Khary Pierre	West Indies	All Rounder	Left Hand Bat	Slow left-arm orthodox	11000000
235	Navin Bidaisee	West Indies	All Rounder	Left Hand Bat	Right-Arm Legspin	11000000
236	Abdollah Ahmadzai	Afghanistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	6000000
237	Aftab Alam	Afghanistan	Bowler	Right Hand Bat	Right-Arm Fast	6000000
238	Aqil Khan Obaid	Afghanistan	Bowler	Right Hand Bat	Right-Arm Legspin	6000000
239	Barkat Ibrahimzai	Afghanistan	All Rounder	Right Hand Bat	Right-Arm Legspin	6000000
240	Bilal Sami	Afghanistan	Bowler	Right Hand Bat	Right-Arm Medium	6000000
241	Dawlat Khan Zadran	Afghanistan	Bowler	Right Hand Bat	Right-Arm Fast	6000000
242	Faridoon Dawoodzai	Afghanistan	Bowler	Right Hand Bat	Left-Arm Medium Fast	6000000
243	Farmanullah Safi	Afghanistan	All Rounder	Left Hand Bat	Right-Arm Medium Fast	6000000
244	Hassan Eisakhil	Afghanistan	Batter	Right Hand Bat	Right-Arm Legspin	6000000
245	Hazratullah Zazai	Afghanistan	Batter	Left Hand Bat	Right-Arm Offspin	6000000
246	Ijaz Ahmedzai	Afghanistan	All Rounder	Right Hand Bat	Right-Arm Medium	6000000
247	Ikram Alikhil	Afghanistan	Wicketkeeper Batter	Left Hand Bat	Right-Arm Offspin	6000000
248	Imran Mir	Afghanistan	Batter	Right Hand Bat	Right-Arm Offspin	6000000
249	Izharulhaq Naveed	Afghanistan	Bowler	Right Hand Bat	Right-Arm Legspin	6000000
250	Mohammad Ibrahim	Afghanistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	6000000
251	Mohammad Ishaq	Afghanistan	Wicketkeeper Batter	Right Hand Bat	Right-Arm Fast	6000000
252	Mohammad Shehzad	Afghanistan	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	6000000
253	Naveed Zadran	Afghanistan	Bowler	Right Hand Bat	Right-Arm Medium	6000000
254	Nijat Masood	Afghanistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	6000000
255	Nooristani Omarzai	Afghanistan	Bowler	Right Hand Bat	Left-Arm Medium Fast	6000000
256	Qais Ahmad	Afghanistan	Bowler	Right Hand Bat	Right-Arm Legspin	6000000
257	Said Bahir Shah Mahboob	Afghanistan	Batter	Right Hand Bat	Right-Arm Offspin	6000000
258	Shafiqullah Ghafari	Afghanistan	All Rounder	Right Hand Bat	Right-Arm Legspin	6000000
259	Wahidullah Zadran	Afghanistan	Bowler	Right Hand Bat	Right-Arm Offspin	6000000
260	Waqarullah Ishaq	Afghanistan	All Rounder	Right Hand Bat	Slow left-arm wrist spin	6000000
261	Yama Arab	Afghanistan	Bowler	Right Hand Bat	Right-Arm Medium Fast	6000000
262	Ziaur Rahman Sharifi	Afghanistan	Bowler	Right Hand Bat	Right-Arm Fast	6000000
263	Zubairullah Akbari	Afghanistan	All Rounder	Left Hand Bat	Slow left-arm orthodox	6000000
264	Alex Ross	Australia	Batter	Right Hand Bat	Right-Arm Offspin	6000000
265	Baxter Holt	Australia	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	6000000
266	Ben Dunk	Australia	Wicketkeeper Batter	Left Hand Bat	Right-Arm Offspin	6000000
267	Ben Manenti	Australia	All Rounder	Right Hand Bat	Right-Arm Offspin	6000000
268	Benjamin Cutting	Australia	Batter	Right Hand Bat	Right-Arm Medium	6000000
269	Billy Stanlake	Australia	Bowler	Left Hand Bat	Right-Arm Fast	6000000
270	Brody Couch	Australia	Bowler	Left Hand Bat	Right-Arm Fast	6000000
271	Hamish Mckenzie	Australia	All Rounder	Left Hand Bat	Slow left-arm wrist spin	6000000
272	Hayden Kerr	Australia	All Rounder	Right Hand Bat	Left-Arm Medium Fast	6000000
273	James Seymour	Australia	Batter	Left Hand Bat	Right-Arm Offspin	6000000
274	Joe Burns	Australia	Batter	Right Hand Bat	Right-Arm Offspin	6000000
275	Joshua Kann	Australia	All Rounder	Right Hand Bat	Right-Arm Medium Fast	6000000
276	Lachlan Bangs	Australia	All Rounder	Left Hand Bat	Left-Arm Medium Fast	6000000
277	Lachlan Shaw	Australia	Wicketkeeper Batter	Right Hand Bat	Slow left-arm orthodox	6000000
278	Lloyd Pope	Australia	Bowler	Right Hand Bat	Right-Arm Legspin	6000000
279	Mackenzie Harvey	Australia	Wicketkeeper Batter	Left Hand Bat	Right-Arm Medium	6000000
280	Marcus Bean	Australia	Bowler	Left Hand Bat	Left-Arm Fast	6000000
281	Max Bryant	Australia	Batter	Right Hand Bat	Right-Arm Offspin	6000000
282	Nick Hobson	Australia	Batter	Left Hand Bat	Right-Arm Medium	6000000
283	Oliver Patterson	Australia	Bowler	Right Hand Bat	Left-Arm Fast	6000000
284	Patrick Dooley	Australia	Bowler	Left Hand Bat	Slow left-arm orthodox	6000000
285	Peter Hatzoglou	Australia	Bowler	Right Hand Bat	Right-Arm Legspin	6000000
286	Riley Kingsell	Australia	Batter	Right Hand Bat	Right-Arm Offspin	6000000
287	Ruwantha Kellepotha	Australia	All Rounder	Right Hand Bat	Right-Arm Legspin	6000000
288	Samuel Harper	Australia	Wicketkeeper Batter	Right Hand Bat	Right-Arm Offspin	6000000
289	Samuel Heazlett	Australia	All Rounder	Left Hand Bat	Slow left-arm orthodox	6000000
290	Thomas Rogers	Australia	All Rounder	Left Hand Bat	Right-Arm Medium Fast	6000000
291	Thomas Rogers	Australia	Batter	Left Hand Bat	Right-Arm Legspin	6000000
292	Wes Agar	Australia	Bowler	Right Hand Bat	Right-Arm Fast	6000000
293	William Bosisto	Australia	All Rounder	Right Hand Bat	Right-Arm Offspin	6000000
294	Abdul Gaffar Saqlain	Bangladesh	Bowler	Right Hand Bat	Right-Arm Medium Fast	6000000
295	Abu Haider Rony	Bangladesh	Bowler	Right Hand Bat	Left-Arm Medium	6000000
296	Afif Hossain	Bangladesh	All Rounder	Left Hand Bat	Right-Arm Offspin	6000000
